Date,Open,High,Low,Close,Adj Close,Volume
2011-05-16,63.139999,63.139999,63.139999,62.715000,62.715000,55
2011-05-17,61.970001,61.970001,61.970001,61.970001,61.970001,0
2011-05-18,63.075001,63.075001,63.075001,63.075001,63.075001,0
2011-05-19,62.345001,62.345001,62.345001,62.345001,62.345001,0
2011-05-20,61.924999,61.924999,61.924999,61.924999,61.924999,0
2011-05-23,61.165001,61.165001,61.165001,61.165001,61.165001,0
2011-05-24,61.224998,61.224998,61.224998,61.224998,61.224998,0
2011-05-25,60.935001,60.935001,60.935001,60.935001,60.935001,0
2011-05-26,61.244999,61.244999,61.244999,61.244999,61.244999,0
2011-05-27,61.255001,61.255001,61.255001,61.255001,61.255001,0
2011-05-31,62.139999,62.139999,62.139999,62.139999,62.139999,0
2011-06-01,62.150002,62.150002,62.150002,62.150002,62.150002,0
2011-06-02,61.834999,61.834999,61.834999,61.834999,61.834999,0
2011-06-03,61.919998,61.919998,61.610001,61.619999,61.619999,7500
2011-06-06,61.345001,61.345001,61.345001,61.345001,61.345001,0
2011-06-07,61.470001,61.470001,61.470001,61.470001,61.470001,0
2011-06-08,61.814999,61.814999,61.814999,61.814999,61.814999,0
2011-06-09,62.119999,62.119999,62.119999,62.119999,62.119999,0
2011-06-10,62.195000,62.195000,62.195000,62.195000,62.195000,0
2011-06-13,61.840000,61.840000,61.840000,61.840000,61.840000,0
2011-06-14,62.209999,62.209999,62.209999,62.209999,62.209999,0
2011-06-15,62.150002,62.150002,62.150002,62.150002,62.150002,0
2011-06-16,62.084999,62.084999,62.084999,62.084999,62.084999,0
2011-06-17,62.215000,62.215000,62.215000,62.215000,62.215000,0
2011-06-20,62.020000,62.020000,62.020000,62.020000,62.020000,0
2011-06-21,62.860001,62.860001,62.860001,62.860001,62.860001,0
2011-06-22,63.799999,63.799999,63.799999,63.799999,63.799999,0
2011-06-23,63.669998,63.669998,63.669998,63.384998,63.384998,10
2011-06-24,64.269997,64.269997,64.269997,64.269997,64.269997,0
2011-06-27,63.764999,63.764999,63.764999,63.764999,63.764999,0
2011-06-28,64.320000,64.320000,64.320000,64.320000,64.320000,0
2011-06-29,64.730003,64.730003,64.730003,65.035004,65.035004,10
2011-06-30,65.544998,65.544998,65.544998,65.544998,65.544998,0
2011-07-01,65.010002,65.010002,65.010002,65.610001,65.610001,25
2011-07-04,65.754997,65.754997,65.754997,65.754997,65.754997,0
2011-07-05,65.489998,65.489998,65.489998,65.489998,65.489998,35
2011-07-06,66.320000,66.320000,66.320000,66.459999,66.459999,800
2011-07-07,66.570000,67.029999,66.570000,67.114998,67.114998,20000
2011-07-08,67.120003,67.120003,66.599998,66.445000,66.445000,8436
2011-07-11,66.610001,66.610001,66.610001,66.610001,66.610001,0
2011-07-12,66.660004,66.660004,66.660004,66.974998,66.974998,3750
2011-07-13,67.480003,67.480003,67.480003,67.519997,67.519997,14
2011-07-14,66.860001,66.860001,66.860001,66.860001,66.860001,0
2011-07-15,67.160004,67.160004,66.980003,67.089996,67.089996,20030
2011-07-18,66.639999,66.639999,66.410004,66.495003,66.495003,20944
2011-07-19,67.050003,67.050003,67.050003,67.050003,67.050003,0
2011-07-20,67.400002,67.400002,67.400002,67.500000,67.500000,940
2011-07-21,67.635002,67.635002,67.635002,67.635002,67.635002,0
2011-07-22,67.830002,67.830002,67.830002,67.830002,67.830002,0
2011-07-25,67.680000,67.680000,67.680000,67.680000,67.680000,0
2011-07-26,67.540001,67.540001,67.540001,67.540001,67.540001,0
2011-07-27,67.500000,67.500000,67.500000,67.095001,67.095001,3750
2011-07-28,67.074997,67.074997,67.074997,67.074997,67.074997,0
2011-07-29,66.629997,66.629997,66.629997,66.480003,66.480003,529
2011-08-01,66.934998,66.934998,66.934998,66.934998,66.934998,0
2011-08-02,66.525002,66.525002,66.525002,66.525002,66.525002,0
2011-08-03,65.629997,65.629997,65.629997,65.084999,65.084999,3750
2011-08-04,62.930000,62.930000,62.930000,62.930000,62.930000,0
2011-08-05,61.465000,61.465000,61.465000,61.465000,61.465000,0
2011-08-08,60.855000,60.855000,60.855000,60.855000,60.855000,0
2011-08-09,61.669998,61.669998,61.669998,61.860001,61.860001,122
2011-08-10,60.805000,60.805000,60.805000,60.805000,60.805000,0
2011-08-11,61.799999,61.799999,61.799999,61.904999,61.904999,405
2011-08-12,61.779999,62.029999,61.779999,61.985001,61.985001,6790
2011-08-15,61.939999,61.980000,61.939999,61.830002,61.830002,544
2011-08-16,61.650002,61.650002,61.650002,61.650002,61.650002,0
2011-08-17,61.195000,61.195000,61.195000,61.195000,61.195000,0
